Date,Close
2021-07-01,33572.117188
2021-07-02,33897.046875
2021-07-03,34668.546875
2021-07-04,35287.78125
2021-07-05,33746.003906
2021-07-06,34235.195313
2021-07-07,33855.328125
2021-07-08,32877.371094
2021-07-09,33798.011719
2021-07-10,33520.519531
2021-07-11,34240.1875
2021-07-12,33155.847656
2021-07-13,32702.025391
2021-07-14,32822.347656
2021-07-15,31780.730469
2021-07-16,31421.539063
2021-07-17,31533.068359
2021-07-18,31796.810547
2021-07-19,30817.832031
2021-07-20,29807.347656
2021-07-21,32110.693359
2021-07-22,32313.105469
2021-07-23,33581.550781
2021-07-24,34292.445313
2021-07-25,35350.1875
2021-07-26,37337.535156
2021-07-27,39406.941406
2021-07-28,39995.90625
2021-07-29,40008.421875
2021-07-30,42235.546875
2021-07-31,41626.195313
2021-08-01,39974.894531
2021-08-02,39201.945313
2021-08-03,38152.980469
2021-08-04,39747.503906
2021-08-05,40869.554688
2021-08-06,42816.5
2021-08-07,44555.800781
2021-08-08,43798.117188
2021-08-09,46365.402344
2021-08-10,45585.03125
2021-08-11,45593.636719
2021-08-12,44428.289063
2021-08-13,47793.320313
2021-08-14,47096.945313
2021-08-15,47047.003906
2021-08-16,46004.484375
2021-08-17,44695.359375
2021-08-18,44801.1875
2021-08-19,46717.578125
2021-08-20,49339.175781
2021-08-21,48905.492188
2021-08-22,49321.652344
2021-08-23,49546.148438
2021-08-24,47706.117188
2021-08-25,48960.789063
2021-08-26,46942.21875
2021-08-27,49058.667969
2021-08-28,48902.402344
2021-08-29,48829.832031
2021-08-30,47054.984375
2021-08-31,47166.6875
2021-09-01,48847.027344
2021-09-02,49327.722656
2021-09-03,50025.375
2021-09-04,49944.625
2021-09-05,51753.410156
2021-09-06,52633.535156
2021-09-07,46811.128906
2021-09-08,46091.390625
2021-09-09,46391.421875
2021-09-10,44883.910156
2021-09-11,45201.457031
2021-09-12,46063.269531
2021-09-13,44963.074219
2021-09-14,47092.492188
2021-09-15,48176.347656
2021-09-16,47783.359375
2021-09-17,47267.519531
2021-09-18,48278.363281
2021-09-19,47260.21875
2021-09-20,42843.800781
2021-09-21,40693.675781
2021-09-22,43574.507813
2021-09-23,44895.097656
2021-09-24,42839.75
2021-09-25,42716.59375
2021-09-26,43208.539063
2021-09-27,42235.730469
2021-09-28,41034.542969
2021-09-29,41564.363281
2021-09-30,43790.894531
2021-10-01,48116.941406
2021-10-02,47711.488281
